dataset,method,seed,round,n,norm_missing,fpr,accuracy,floor_n,floor_fp,nonfloor_n,nonfloor_fp,rho_samples_norm,rho_samples_reject,rho_entropy_norm,rho_samples_entropy,rho_samples_norm_nonfloor,rho_samples_reject_nonfloor,accepted_mass_fraction,quartile_gap
har,flame_hdbscan,2024,9,90,0,0.43333333333333335,0.3505259586019681,66,27,24,12,0.2026430048451463,0.08428544061994774,0.2620391640987427,-0.12355187343263135,-0.002608695652173913,0.04815434123430768,0.5161237249095098,0.2619047619047619
har,flame_hdbscan,2024,10,90,0,0.4888888888888889,0.3505259586019681,70,32,20,12,0.11467907523810086,0.11052285026309674,0.2806438638936165,-0.15265690430688508,0.14887218045112782,-0.10619884881071831,0.4658753709198813,0.27999999999999997
har,flame_hdbscan,2024,11,90,0,0.4222222222222222,0.3505259586019681,68,29,22,9,0.08233263964284214,-0.009760025871044213,0.2883098687931927,-0.1272526725945996,0.012987012987012988,0.06557474954819614,0.5654238480478367,0.10474308300395258
har,flame_hdbscan,2024,12,90,0,0.43333333333333335,0.3505259586019681,68,29,22,10,0.07793385218744438,0.02861199433470851,0.2514826131615888,-0.1220744480675897,0.09542631281761718,0.057555446306895415,0.5374592833876222,0.12121212121212122
har,flame_hdbscan,2024,13,90,0,0.4222222222222222,0.3505259586019681,67,27,23,11,0.1564851834616145,0.06213705502850903,0.24326345271271102,-0.11625248552636114,0.03853754940711463,-0.03936479108111085,0.5626647917032871,0.18659420289855072
har,flame_hdbscan,2024,14,90,0,0.4888888888888889,0.3505259586019681,67,30,23,14,0.1753866948810395,0.13841969177030256,0.2760198389061813,-0.10377033881287592,0.03260869565217391,0.0,0.4245127188635613,0.27536231884057977
har,flame_hdbscan,2024,15,90,0,0.43333333333333335,0.3505259586019681,67,27,23,12,0.19400897942722298,0.113169687575721,0.3142083225028257,-0.12709894108720482,0.1590909090909091,0.11809437324333256,0.49266862170087977,0.21739130434782605
har,flame_hdbscan,2024,16,90,0,0.4222222222222222,0.3505259586019681,69,29,21,9,0.10157994687823343,0.019860141347451708,0.29746319601673515,-0.10283173393666248,0.13246753246753248,0.17480147469502527,0.5441810344827587,0.11038961038961037
har,flame_hdbscan,2024,17,90,0,0.4444444444444444,0.3505259586019681,70,29,20,11,0.17045758381958392,0.11532383995322734,0.251091384207057,-0.12644051198949297,0.003007518796992481,0.04357391546800017,0.49510293823705775,0.23181818181818187
har,flame_hdbscan,2024,18,90,0,0.4222222222222222,0.3505259586019681,67,28,23,10,0.09984508617408758,0.027114351285167575,0.350399030245166,-0.11654842519027102,0.08893280632411067,0.1454436184706849,0.5466757354191464,0.05383022774327123
