dataset,scenario,mode,seed,round,gate_reason,layer,density_gap,alert,l0_guard,l0_rejected,threshold,max_distance_over_threshold,malicious_max_distance_over_threshold,distance_auc,constraint_ratio
fashion_mnist,cut_gaussian,attacked,2024,22,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,23,0.7812688499689102,2557.0806466099175,2557.0806466099175,1.0,
fashion_mnist,cut_gaussian,attacked,2024,23,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,23,0.7866111397743225,2540.9834263395605,2540.9834263395605,1.0,
fashion_mnist,cut_gaussian,attacked,2024,24,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,21,0.7641857117414474,2619.7175016942538,2619.7175016942538,1.0,
fashion_mnist,cut_gaussian,attacked,2024,25,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,22,0.7791336253285408,2565.0713308035984,2565.0713308035984,1.0,
fashion_mnist,cut_gaussian,attacked,2024,26,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,23,0.7761581987142563,2576.6318060932367,2576.6318060932367,1.0,
fashion_mnist,cut_gaussian,attacked,2024,27,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,23,0.7713080570101738,2591.2333496211454,2591.2333496211454,1.0,
fashion_mnist,cut_gaussian,attacked,2024,28,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,23,0.7983028516173363,2504.4058003071405,2504.4058003071405,1.0,
fashion_mnist,cut_gaussian,attacked,2024,29,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,23,0.7851729542016983,2547.404448240926,2547.404448240926,1.0,
fashion_mnist,cut_gaussian,attacked,42,0,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.8159226328134537,1101.839264648882,1101.839264648882,1.0,
fashion_mnist,cut_gaussian,attacked,42,1,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.6733471304178238,1195.0261647243,1195.0261647243,1.0,
fashion_mnist,cut_gaussian,attacked,42,2,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.5206775814294815,1316.8022367651765,1316.8022367651765,1.0,
fashion_mnist,cut_gaussian,attacked,42,3,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.6181430965662003,1236.49354038836,1236.49354038836,1.0,
