reference,dataset,scenario,mode,seed,round,alpha,threshold,tp,fp,honest_n,attacker_n,floor_fp,floor_n,above_fp,above_n
4,mnist,cut_minmax,attacked,2024,29,0.0001,0.99,18,0,72,18,0,43,0,29
4,mnist,cut_minmax,attacked,2024,29,0.0001,0.999,18,0,72,18,0,43,0,29
4,mnist,cut_minmax,attacked,2024,29,0.0001,0.9999,18,0,72,18,0,43,0,29
4,mnist,cut_minmax,attacked,2024,29,0.01,0.95,18,3,72,18,0,43,3,29
4,mnist,cut_minmax,attacked,2024,29,0.01,0.99,18,0,72,18,0,43,0,29
4,mnist,cut_minmax,attacked,2024,29,0.01,0.999,18,0,72,18,0,43,0,29
4,mnist,cut_minmax,attacked,2024,29,0.01,0.9999,18,0,72,18,0,43,0,29
5,mnist,cut_minmax,attacked,42,0,0.0,0.95,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,0,0.0,0.99,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,0,0.0,0.999,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,0,0.0,0.9999,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,0,1e-06,0.95,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,0,1e-06,0.99,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,0,1e-06,0.999,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,0,1e-06,0.9999,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,0,0.0001,0.95,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,0,0.0001,0.99,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,0,0.0001,0.999,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,0,0.0001,0.9999,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,0,0.01,0.95,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,0,0.01,0.99,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,0,0.01,0.999,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,0,0.01,0.9999,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,9,0.0,0.95,18,5,72,18,0,36,5,36
5,mnist,cut_minmax,attacked,42,9,0.0,0.99,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,9,0.0,0.999,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,9,0.0,0.9999,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,9,1e-06,0.95,18,5,72,18,0,36,5,36
5,mnist,cut_minmax,attacked,42,9,1e-06,0.99,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,9,1e-06,0.999,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,9,1e-06,0.9999,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,9,0.0001,0.95,18,5,72,18,0,36,5,36
5,mnist,cut_minmax,attacked,42,9,0.0001,0.99,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,9,0.0001,0.999,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,9,0.0001,0.9999,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,9,0.01,0.95,18,5,72,18,0,36,5,36
5,mnist,cut_minmax,attacked,42,9,0.01,0.99,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,9,0.01,0.999,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,9,0.01,0.9999,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,29,0.0,0.95,18,5,72,18,0,36,5,36
5,mnist,cut_minmax,attacked,42,29,0.0,0.99,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,29,0.0,0.999,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,29,0.0,0.9999,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,29,1e-06,0.95,18,5,72,18,0,36,5,36
5,mnist,cut_minmax,attacked,42,29,1e-06,0.99,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,29,1e-06,0.999,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,29,1e-06,0.9999,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,29,0.0001,0.95,18,5,72,18,0,36,5,36
5,mnist,cut_minmax,attacked,42,29,0.0001,0.99,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,29,0.0001,0.999,18,0,72,18,0,36,0,36
5,mnist,cut_minmax,attacked,42,29,0.0001,0.9999,18,0,72,18,0,36,0,36
