ref,round,root,variant,clients,cosine_max_gap,trust_max_gap,weight_max_gap,scaled_norm_max_gap,aggregate_max_gap,aggregate_relative_gap,aggregate_cosine,zero_trust_clients,clients_the_local_rule_removes
ref_03,0,small,fltrust_normalized,90,2.1283454071374663e-06,2.1283454071374663e-06,5.6512282374521217e-08,5.000000136146099e-10,6.662413832431158e-10,4.5050028098382856e-08,0.9999999999999989,30,30
ref_03,0,small,fltrust,90,2.1283454071374663e-06,2.1283454071374663e-06,5.6512282374521217e-08,5.000000136146099e-10,6.662413832431158e-10,4.5050028098382856e-08,0.9999999999999989,30,30
ref_03,0,large,fltrust_normalized,90,2.1249783541676948e-06,2.1249783541676948e-06,5.651228236064343e-08,3.631338341136825e-09,4.838695624731493e-09,4.505002809096441e-08,0.9999999999999987,30,30
ref_03,0,large,fltrust,90,2.1249783541676948e-06,2.1249783541676948e-06,5.651228236064343e-08,1.1987641748009226,0.10766334666660718,0.625894778681355,0.9999441973603714,30,30
ref_03,0,unrelated,fltrust_normalized,90,4.902279888887445e-09,2.4937017121390292e-09,2.327348119085526e-08,1.282523420798043e-09,7.074760548231307e-09,2.1438327243512858e-07,0.9999999999999905,56,56
ref_03,0,unrelated,fltrust,90,4.902279888887445e-09,2.4937017121390292e-09,2.327348119085526e-08,0.1344736888811484,0.00849636162199062,0.21418018443998393,0.9959404494580285,56,56
ref_03,9,cohort_mean,fltrust_normalized,90,1.6071846515863797e-06,1.6071846515863797e-06,4.8981065935843615e-08,1.576927588509136e-09,3.4695947573326613e-09,6.404092026997433e-08,0.9999999999999981,36,36
ref_03,9,cohort_mean,fltrust,90,1.6071846515863797e-06,1.6071846515863797e-06,4.8981065935843615e-08,0.2199595525737727,0.019973685449807474,0.2813569797687163,0.9997756243462567,36,36
ref_03,9,small,fltrust_normalized,90,1.604164711288547e-06,1.604164711288547e-06,4.8981065935843615e-08,5.000000413701855e-10,1.1001124143594776e-09,6.404092028213186e-08,0.999999999999998,36,36
ref_03,9,small,fltrust,90,1.604164711288547e-06,1.604164711288547e-06,4.8981065935843615e-08,5.000000413701855e-10,1.1001124143594776e-09,6.404092028213186e-08,0.999999999999998,36,36
ref_03,9,large,fltrust_normalized,90,1.6080990535849438e-06,1.6080990535849438e-06,4.898106593931306e-08,4.533505570947227e-09,9.974730916240127e-09,6.404092029039732e-08,0.9999999999999978,36,36
ref_03,9,large,fltrust,90,1.6080990535849438e-06,1.6080990535849438e-06,4.898106593931306e-08,1.3471855842046896,0.1488387655322052,0.749581689859265,0.9996863788190009,36,36
ref_03,9,unrelated,fltrust_normalized,90,8.23051763635535e-09,4.8633957399485395e-09,3.8962166562517275e-08,1.3281311606050394e-09,4.006352071709435e-09,1.0828753212658e-07,0.9999999999999967,56,56
ref_03,9,unrelated,fltrust,90,8.23051763635535e-09,4.8633957399485395e-09,3.8962166562517275e-08,0.148538775984433,0.0001570903123788176,0.0030007710756622128,0.9999956254262975,56,56
ref_03,29,cohort_mean,fltrust_normalized,90,1.5892621034740984e-06,1.5892621034740984e-06,4.178938104587582e-08,1.6623644683022576e-09,4.116119924069128e-09,7.975643498413161e-08,0.9999999999999973,38,38
ref_03,29,cohort_mean,fltrust,90,1.5892621034740984e-06,1.5892621034740984e-06,4.178938104587582e-08,0.24698028454815424,0.022806230761244606,0.31705731305405865,0.9995421549846466,38,38
